ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,tcp_rtt_ms,probe_loss,tun_exists
2025-11-25T17:15:38.500412Z,urllc,uesimtun1,151031,1885,154296,1927,1.683,0,1
2025-11-25T17:15:38.500412Z,mmtc,uesimtun2,153324,1905,159492,2052,1.146,0,1
2025-11-25T17:15:38.750593Z,embb,uesimtun0,153996,1912,160736,2077,1.203,0,1
2025-11-25T17:15:38.750593Z,urllc,uesimtun1,151196,1888,154540,1932,0.939,0,1
2025-11-25T17:15:38.750593Z,mmtc,uesimtun2,153489,1908,159736,2057,0.991,0,1
2025-11-25T17:15:39.000821Z,embb,uesimtun0,154161,1915,160980,2082,1.371,0,1
2025-11-25T17:15:39.000821Z,urllc,uesimtun1,151336,1891,154704,1935,0.960,0,1
2025-11-25T17:15:39.000821Z,mmtc,uesimtun2,153654,1911,159980,2062,0.966,0,1
2025-11-25T17:15:39.249927Z,embb,uesimtun0,154326,1918,161224,2087,21.767,0,1
2025-11-25T17:15:39.249927Z,urllc,uesimtun1,151476,1894,154868,1938,2.492,0,1
2025-11-25T17:15:39.249927Z,mmtc,uesimtun2,153819,1914,160224,2067,0.857,0,1
2025-11-25T17:15:39.571908Z,embb,uesimtun0,154491,1921,161468,2092,1.482,0,1
2025-11-25T17:15:39.571908Z,urllc,uesimtun1,151641,1897,155112,1943,3.065,0,1
2025-11-25T17:15:39.571908Z,mmtc,uesimtun2,153959,1917,160388,2070,0.909,0,1
2025-11-25T17:15:39.750941Z,embb,uesimtun0,154656,1924,161712,2097,1.418,0,1
2025-11-25T17:15:39.750941Z,urllc,uesimtun1,151781,1900,155276,1946,0.870,0,1
2025-11-25T17:15:39.750941Z,mmtc,uesimtun2,154124,1920,160632,2075,0.925,0,1
2025-11-25T17:15:40.000386Z,embb,uesimtun0,154821,1927,161956,2102,1.382,0,1
2025-11-25T17:15:40.000386Z,urllc,uesimtun1,151921,1903,155440,1949,0.905,0,1
2025-11-25T17:15:40.000386Z,mmtc,uesimtun2,154341,1924,160876,2080,0.864,0,1
2025-11-25T17:15:40.250166Z,embb,uesimtun0,154986,1930,162200,2107,9.196,0,1
2025-11-25T17:15:40.250166Z,urllc,uesimtun1,152061,1906,155604,1952,,1,1
2025-11-25T17:15:40.250166Z,mmtc,uesimtun2,154506,1927,161120,2085,0.919,0,1
2025-11-25T17:15:40.500778Z,embb,uesimtun0,155151,1933,162444,2112,53.803,0,1
2025-11-25T17:15:40.500778Z,urllc,uesimtun1,152101,1907,155664,1953,,1,1
2025-11-25T17:15:40.500778Z,mmtc,uesimtun2,154671,1930,161364,2090,1.020,0,1
2025-11-25T17:15:40.750320Z,embb,uesimtun0,155316,1936,162688,2117,1.519,0,1
2025-11-25T17:15:40.750320Z,urllc,uesimtun1,152141,1908,155724,1954,0.973,0,1
2025-11-25T17:15:40.750320Z,mmtc,uesimtun2,154836,1933,161608,2095,1.709,0,1
2025-11-25T17:15:41.000607Z,embb,uesimtun0,155481,1939,162932,2122,1.353,0,1
2025-11-25T17:15:41.000607Z,urllc,uesimtun1,152306,1911,155968,1959,1.005,0,1
2025-11-25T17:15:41.000607Z,mmtc,uesimtun2,154976,1936,161772,2098,1.017,0,1
2025-11-25T17:15:41.250263Z,embb,uesimtun0,155646,1942,163176,2127,39.027,0,1
2025-11-25T17:15:41.250263Z,urllc,uesimtun1,152471,1914,156212,1964,,1,1
2025-11-25T17:15:41.250263Z,mmtc,uesimtun2,155141,1939,162016,2103,0.918,0,1
2025-11-25T17:15:41.500841Z,embb,uesimtun0,155811,1945,163420,2132,58.837,0,1
2025-11-25T17:15:41.500841Z,urllc,uesimtun1,152511,1915,156272,1965,1.009,0,1
2025-11-25T17:15:41.500841Z,mmtc,uesimtun2,155306,1942,162260,2108,0.978,0,1
2025-11-25T17:15:41.750245Z,embb,uesimtun0,155976,1948,163664,2137,1.514,0,1
2025-11-25T17:15:41.750245Z,urllc,uesimtun1,152651,1918,156436,1968,1.080,0,1
2025-11-25T17:15:41.750245Z,mmtc,uesimtun2,155471,1945,162504,2113,,1,1
2025-11-25T17:15:42.000610Z,embb,uesimtun0,156141,1951,163908,2142,1.384,0,1
2025-11-25T17:15:42.000610Z,urllc,uesimtun1,152816,1921,156680,1973,1.106,0,1
2025-11-25T17:15:42.000610Z,mmtc,uesimtun2,155511,1946,162564,2114,0.735,0,1
2025-11-25T17:15:42.250276Z,embb,uesimtun0,156306,1954,164152,2147,8.458,0,1
2025-11-25T17:15:42.250276Z,urllc,uesimtun1,152956,1924,156844,1976,1.165,0,1
2025-11-25T17:15:42.250276Z,mmtc,uesimtun2,155676,1949,162808,2119,1.086,0,1
2025-11-25T17:15:42.500919Z,embb,uesimtun0,156471,1957,164396,2152,69.705,0,1
2025-11-25T17:15:42.500919Z,urllc,uesimtun1,153096,1927,157008,1979,1.190,0,1
2025-11-25T17:15:42.500919Z,mmtc,uesimtun2,155841,1952,163052,2124,0.989,0,1
2025-11-25T17:15:42.750828Z,embb,uesimtun0,156636,1960,164640,2157,1.375,0,1
2025-11-25T17:15:42.750828Z,urllc,uesimtun1,153261,1930,157252,1984,0.926,0,1
2025-11-25T17:15:42.750828Z,mmtc,uesimtun2,156006,1955,163296,2129,0.857,0,1
