ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-10T21:00:41.643743Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2921581268310547,0.159454345703125,0.17080307006835938
2025-12-10T21:00:42.144044Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2857208251953125,0.159454345703125,0.1640796661376953
2025-12-10T21:00:42.644309Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2877235412597656,0.16579627990722656,0.15239715576171875
2025-12-10T21:00:43.144016Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2899169921875,0.16798973083496094,0.1617908477783203
2025-12-10T21:00:43.643326Z,50mbit,10mbit,800kbit,none,,0,0,0,0.30155181884765625,0.16083717346191406,0.1605510711669922
2025-12-10T21:00:44.143670Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3052711486816406,0.16083717346191406,0.1506328582763672
2025-12-10T21:00:44.643540Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3161907196044922,0.16384124755859375,0.15320777893066406
2025-12-10T21:00:45.143652Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3113746643066406,0.16241073608398438,0.1628398895263672
2025-12-10T21:00:45.643707Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3052234649658203,0.14505386352539062,0.165557861328125
2025-12-10T21:00:46.143416Z,50mbit,10mbit,800kbit,none,,0,0,0,0.30040740966796875,0.1556873321533203,0.16121864318847656
2025-12-10T21:00:46.643444Z,50mbit,10mbit,800kbit,none,,0,0,0,0.31075477600097656,0.16264915466308594,0.15687942504882812
2025-12-10T21:00:47.143703Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3009319305419922,0.15616416931152344,0.1430988311767578
2025-12-10T21:00:47.643787Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2970695495605469,0.15716552734375,0.1384735107421875
2025-12-10T21:00:48.143912Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29850006103515625,0.15859603881835938,0.1391887664794922
2025-12-10T21:00:48.643553Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29621124267578125,0.15859603881835938,0.14100074768066406
2025-12-10T21:00:49.143476Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28595924377441406,0.1464366912841797,0.14772415161132812
2025-12-10T21:00:49.642963Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28357505798339844,0.14405250549316406,0.15778541564941406
2025-12-10T21:00:50.143924Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2865791320800781,0.1732349395751953,0.1633167266845703
2025-12-10T21:00:50.643379Z,50mbit,10mbit,800kbit,none,,0,0,0,33.53433609008789,0.18181800842285156,0.16264915466308594
2025-12-10T21:00:51.143435Z,50mbit,10mbit,800kbit,none,,0,0,0,33.533620834350586,0.17952919006347656,0.1567363739013672
2025-12-10T21:00:51.643876Z,50mbit,10mbit,800kbit,none,,0,0,0,33.5331916809082,0.17910003662109375,0.15344619750976562
