ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-09T08:44:43.291787Z,urllc,uesimtun2,10.46.0.2,20677,439,30210,569,2.159,0,1
2025-12-09T08:44:43.291787Z,mmtc,uesimtun1,10.47.0.2,26733,594,2393788,39961,103.076,0,1
2025-12-09T08:44:43.541643Z,embb,uesimtun0,10.45.0.2,443388,9120,4381980769,3192172,2.038,0,1
2025-12-09T08:44:43.541643Z,urllc,uesimtun2,10.46.0.2,20894,443,30494,575,1.451,0,1
2025-12-09T08:44:43.541643Z,mmtc,uesimtun1,10.47.0.2,26898,597,2394032,39966,5.070,0,1
2025-12-09T08:44:43.791480Z,embb,uesimtun0,10.45.0.2,443553,9123,4385154069,3194483,,1,1
2025-12-09T08:44:43.791480Z,urllc,uesimtun2,10.46.0.2,21111,447,30778,581,7.487,0,1
2025-12-09T08:44:43.791480Z,mmtc,uesimtun1,10.47.0.2,27155,602,2419576,40393,83.484,0,1
2025-12-09T08:44:44.086170Z,embb,uesimtun0,10.45.0.2,443553,9123,4388895473,3197203,2.099,0,1
2025-12-09T08:44:44.086170Z,urllc,uesimtun2,10.46.0.2,21328,451,31062,587,1.055,0,1
2025-12-09T08:44:44.086170Z,mmtc,uesimtun1,10.47.0.2,27320,605,2419820,40398,23.151,0,1
2025-12-09T08:44:44.336486Z,embb,uesimtun0,10.45.0.2,445556,9164,4392114744,3199578,1.197,0,1
2025-12-09T08:44:44.336486Z,urllc,uesimtun2,10.46.0.2,21573,456,31426,594,1.640,0,1
2025-12-09T08:44:44.336486Z,mmtc,uesimtun1,10.47.0.2,27629,611,2437004,40686,4.235,0,1
2025-12-09T08:44:44.586444Z,embb,uesimtun0,10.45.0.2,446680,9187,4395304190,3201917,1.369,0,1
2025-12-09T08:44:44.586444Z,urllc,uesimtun2,10.46.0.2,21818,461,31790,601,1.859,0,1
2025-12-09T08:44:44.586444Z,mmtc,uesimtun1,10.47.0.2,27846,615,2437288,40692,1.769,0,1
2025-12-09T08:44:44.836592Z,embb,uesimtun0,10.45.0.2,447467,9203,4398498794,3204254,2.307,0,1
2025-12-09T08:44:44.836592Z,urllc,uesimtun2,10.46.0.2,22035,465,32074,607,1.971,0,1
2025-12-09T08:44:44.836592Z,mmtc,uesimtun1,10.47.0.2,28063,619,2462772,41118,,1,1
2025-12-09T08:44:45.086284Z,embb,uesimtun0,10.45.0.2,447632,9206,4401685854,3206575,1.179,0,1
2025-12-09T08:44:45.086284Z,urllc,uesimtun2,10.46.0.2,22200,468,32318,612,1.632,0,1
2025-12-09T08:44:45.086284Z,mmtc,uesimtun1,10.47.0.2,28063,619,2462832,41119,15.667,0,1
2025-12-09T08:44:45.336410Z,embb,uesimtun0,10.45.0.2,449326,9241,4404881415,3208928,1.702,0,1
2025-12-09T08:44:45.336410Z,urllc,uesimtun2,10.46.0.2,22365,471,32562,617,2.669,0,1
2025-12-09T08:44:45.336410Z,mmtc,uesimtun1,10.47.0.2,28380,625,2480016,41407,6.850,0,1
